gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RABGGTB,3.730386633,0.533132224,0.439940785,1.211827231,0.225578522,0.999673974
PIGK,2.415659714,0.574092953,0.541871019,1.059464213,0.289388419,0.999673974
AK5,1.116415031,2.060649154,2.010066983,1.025164421,0.305285613,0.999673974
AC118549.1,3.286680688,0.204794192,0.460778685,0.444452399,0.656715537,0.999673974
USP33,7.612852508,0.021380548,0.313862813,0.068120678,0.94568957,0.999673974
MIGA1,2.053152568,0.240748915,0.573703437,0.419640008,0.674748457,0.999673974
FUBP1,7.263965883,-0.358526353,0.320956998,-1.11705417,0.263971164,0.999673974
DNAJB4,0.46922198,-0.880546771,1.021671306,-0.861868945,0.38875964,0.999673974
IFI44L,0.40195444,1.350389341,1.314927668,1.026968535,0.30443528,0.999673974
IFI44,1.273417304,0.538630252,0.744961275,0.72303121,0.46966071,0.999673974
PRKACB,14.32473671,-0.068131398,0.264446689,-0.257637552,0.796686645,0.999673974
RPF1,5.692222326,0.090938919,0.363032669,0.250497895,0.802202332,0.999673974
GNG5,32.04770493,0.35768155,0.17789387,2.010645728,0.04436289,0.999673974
CTBS,2.330449533,-0.041027788,0.743315816,-0.055195634,0.955982607,0.999673974
SSX2IP,1.770732793,0.628361755,0.707807055,0.887758536,0.374670651,0.999673974
MCOLN2,3.663710545,0.462576959,0.55246228,0.837300527,0.402423663,0.999673974
WDR63,0.141261601,0.801512182,2.133953543,0.37559964,0.707214559,0.999673974
C1orf52,4.072969189,-0.050820181,0.431564063,-0.11775814,0.906259298,0.999673974
BCL10,4.056273509,0.054509506,0.439150868,0.124124783,0.901216476,0.999673974
ZNHIT6,2.263045347,-1.040713631,0.627619778,-1.658191262,0.097278868,0.999673974
ODF2L,7.437649028,-0.379265873,0.325547534,-1.165009202,0.244015268,0.999673974
SH3GLB1,9.480156312,0.060590204,0.285575365,0.212168875,0.831975288,0.999673974
SELENOF,21.34354577,0.130382093,0.200668795,0.649737757,0.51586163,0.999673974
HS2ST1,1.830714294,-0.226440961,0.65144084,-0.347600193,0.728140462,0.999673974
LMO4,2.849844131,0.754942905,0.479311102,1.575058248,0.115243,0.999673974
PKN2,3.577145113,-0.008135178,0.437349779,-0.01860108,0.985159342,0.999673974
GTF2B,7.673536824,0.092713096,0.336299561,0.275686044,0.782789216,0.999673974
KYAT3,2.280583875,-0.062423906,0.672408221,-0.092836321,0.926033595,0.999673974
RBMXL1,2.375052039,0.011514402,0.570577595,0.020180256,0.983899578,0.999673974
GBP3,4.097464575,0.174694367,0.474400662,0.368242251,0.712692609,0.999673974
GBP1,7.946557371,0.195186526,0.611968987,0.318948395,0.749765646,0.999673974
GBP2,15.10743026,-0.286803006,0.344579836,-0.832326722,0.405224552,0.999673974
GBP4,10.27374434,0.355108611,0.495681587,0.716404685,0.473741503,0.999673974
AC099063.4,0.90024358,-0.497428666,0.912029055,-0.545408793,0.585472394,0.999673974
GBP5,24.58066476,-0.162246143,0.351831271,-0.461147592,0.644692719,0.999673974
LRRC8B,0.528891555,-1.346265481,1.106399776,-1.216798404,0.223680928,0.999673974
LRRC8C,3.996328393,-0.603384541,0.438609353,-1.375676412,0.168921838,0.999673974
LRRC8D,2.155080979,-0.475320913,0.550687598,-0.863140761,0.388060079,0.999673974
ZNF326,3.414996033,-0.076936662,0.502980288,-0.152961584,0.87842857,0.999673974
ZNF644,7.318749193,0.550721685,0.319513578,1.723625291,0.08477551,0.999673974
CDC7,0.643902825,-0.959916359,1.224036487,-0.784222014,0.43290985,0.999673974
TGFBR3,21.15825472,0.447201296,0.270926565,1.650636568,0.098812807,0.999673974
EPHX4,0.99132098,1.67182859,0.911193772,1.834767359,0.066540167,0.999673974
BTBD8,0.671296122,1.174064611,1.078626731,1.088480915,0.276382857,0.999673974
GLMN,2.158256188,0.555983227,0.556207447,0.999596877,0.317505635,0.999673974
RPAP2,5.067243924,0.044838501,0.421682889,0.106332274,0.915318726,0.999673974
GFI1,4.672528061,-0.202403754,0.439884771,-0.460129032,0.645423606,0.999673974
RPL5,273.970835,-0.376525956,0.144229648,-2.610600251,0.009038348,0.56744873
DIPK1A,3.501071674,0.234129481,0.492666409,0.475229236,0.634623591,0.999673974
MTF2,4.918730825,0.067047753,0.394274407,0.170053527,0.864968041,0.999673974
TMED5,6.92970598,0.02232009,0.373376759,0.059779002,0.95233165,0.999673974
CCDC18,1.627435175,-0.902045337,0.672659968,-1.341012368,0.179916437,0.999673974
CCDC18-AS1,9.076371872,-0.211507513,0.302853118,-0.698383146,0.484937614,0.999673974
DR1,7.416144355,0.190156874,0.324358941,0.586254456,0.557704532,0.999673974
DNTTIP2,8.558410767,0.032820481,0.323288168,0.101520822,0.91913703,0.999673974
GCLM,3.41286199,0.232847613,0.451634815,0.515566127,0.606157473,0.999673974
ABCD3,2.547185331,-0.790838125,0.545958599,-1.448531311,0.147468516,0.999673974
ALG14,0.859905307,1.114905436,0.845145101,1.319188189,0.187106206,0.999673974
RWDD3,6.553129424,0.09645876,0.383077735,0.251799442,0.801196089,0.999673974
PTBP2,1.293189857,-1.657941112,0.906332403,-1.82928593,0.067356785,0.999673974
DPYD,9.576415769,0.323834846,0.279837412,1.15722499,0.24718045,0.999673974
AGL,1.758390501,1.147164989,0.734380808,1.562084653,0.118268048,0.999673974
SLC35A3,2.131045062,1.052343913,0.647148385,1.626124607,0.10392315,0.999673974
MFSD14A,4.764222072,0.033325515,0.379754279,0.087755471,0.93007103,0.999673974
SASS6,1.271903604,0.949122108,0.738162746,1.285789771,0.198516441,0.999673974
TRMT13,2.338263969,-0.049918581,0.564175963,-0.088480518,0.929494768,0.999673974
DBT,0.278395439,-1.067302407,1.75160111,-0.609329602,0.54230599,0.999673974
RTCA-AS1,0.33239858,0.071835186,1.722686348,0.041699516,0.96673824,0.999673974
RTCA,3.110188374,0.40519791,0.46472604,0.871907048,0.383259088,0.999673974
CDC14A,3.93649839,-0.371574609,0.495076226,-0.750540198,0.452929423,0.999673974
EXTL2,0.203849605,-0.208246523,1.982787765,-0.105027137,0.916354275,0.999673974
SLC30A7,3.335333997,-0.001033699,0.478082973,-0.002162174,0.998274836,0.999756724
DPH5,2.601659528,0.404309414,0.553990104,0.729813422,0.465504239,0.999673974
AC093157.1,1.584279118,0.933148759,0.706030794,1.321682803,0.186273797,0.999673974
AL109741.1,0.673112777,-0.444630946,1.08394175,-0.410198192,0.681660567,0.999673974
S1PR1,18.92022942,0.444977482,0.245401651,1.813261971,0.069791426,0.999673974
RNPC3,5.353757688,0.23962218,0.366290476,0.654186216,0.512991841,0.999673974
PRMT6,1.214488465,-1.243652859,0.901633815,-1.37933254,0.167792248,0.999673974
VAV3,5.316210286,-0.079159166,0.485514742,-0.163041735,0.870485575,0.999673974
SLC25A24,4.522933343,0.48569616,0.424959598,1.142923143,0.253070503,0.999673974
FAM102B,2.374284209,0.204186257,0.549745859,0.371419364,0.710325205,0.999673974
HENMT1,5.725402485,0.399870602,0.374828999,1.066808075,0.286058511,0.999673974
PRPF38B,16.15030541,-0.197443058,0.227742693,-0.866956719,0.385965725,0.999673974
STXBP3,3.600947903,-0.119474168,0.462549676,-0.258294782,0.796179413,0.999673974
WDR47,1.339641545,0.869046459,0.768795045,1.130400703,0.258307418,0.999673974
TAF13,1.019402494,0.079959577,0.839723688,0.095221295,0.924139056,0.999673974
TMEM167B,3.367639971,-0.087622105,0.471786549,-0.185724043,0.852661173,0.999673974
KIAA1324,0.317215265,0.773674626,1.236989805,0.625449476,0.531676098,0.999673974
SARS,9.04568554,0.284408174,0.27627169,1.029451024,0.303267783,0.999673974
CELSR2,0.375836796,0.643305837,1.286799793,0.499926904,0.617126548,0.999673974
PSMA5,18.85958074,0.259635268,0.285002149,0.910994071,0.362298498,0.999673974
ATXN7L2,1.091880799,0.010964713,0.832550903,0.013170021,0.989492147,0.999673974
CYB561D1,2.360659001,-0.421385538,0.578281178,-0.728686241,0.466193611,0.999673974
AMIGO1,0.553635701,-0.463098305,1.132626908,-0.408871008,0.682634326,0.999673974
GNAI3,7.10028985,0.23115465,0.316815494,0.729619146,0.465623016,0.999673974
AMPD2,2.325915691,-0.067997418,0.60306429,-0.112753182,0.910226237,0.999673974
GSTM4,1.408845315,-0.12623844,0.716005509,-0.176309314,0.860050945,0.999673974
GSTM2,0.371623781,-1.854635074,1.381647773,-1.342335659,0.179487186,0.999673974
GSTM1,2.177695958,-0.460139391,1.136200684,-0.404980737,0.68549167,0.999673974
GSTM3,0.820251471,-0.27295272,0.990625036,-0.275535859,0.78290458,0.999673974
AHCYL1,4.10109857,0.289663032,0.433092563,0.668824767,0.503607266,0.999673974
STRIP1,4.173840018,-0.4401731,0.435179845,-1.011474003,0.311789617,0.999673974
RBM15-AS1,0.212586541,0.541489963,1.941172547,0.278949939,0.780283244,0.999673974
RBM15,2.29719588,-0.744516335,0.573111151,-1.299078431,0.193917014,0.999673974
LAMTOR5-AS1,0.235282797,-0.367068444,1.94126331,-0.189087406,0.850024312,0.999673974
LAMTOR5,14.3227083,0.305422077,0.245743249,1.242850326,0.213922993,0.999673974
AL365361.1,1.344074474,0.747589506,0.716877823,1.042840889,0.29702199,0.999673974
KCNA3,5.90731989,-0.440179919,0.393184747,-1.119524402,0.262916486,0.999673974
CD53,39.53689335,0.138159031,0.179863244,0.768133768,0.442407717,0.999673974
LRIF1,3.935499504,-0.441585054,0.541532719,-0.815435593,0.414823018,0.999673974
DRAM2,4.130965835,0.034906579,0.412111965,0.084701687,0.932498555,0.999673974
CEPT1,2.30697915,0.434738004,0.590667739,0.736011087,0.461723951,0.999673974
AL355816.2,0.523372339,-0.631506802,1.355991038,-0.465716059,0.641418756,0.999673974
DENND2D,15.72519699,-0.74056863,0.260859042,-2.838960938,0.00452607,0.398310011
CHI3L2,3.279456338,-0.345701773,0.735407469,-0.470081944,0.638296473,0.999673974
WDR77,3.233985507,0.515219274,0.486791484,1.05839829,0.289873899,0.999673974
